City,Subject,Participants,Time,Description,State,Date,Date_start,Date_end
Brattleboro,"George Floyd, Breonna Taylor, Ahmaud Arbery, Sean Reed",1000+ demonstrators,Afternoon,No details included for this demonstration.,VT,"Sunday, May 31, 2020",2020-05-31,NA
Aurora,"George Floyd, Minneapolis, General",Hundreds of demonstrators,Evening,No details included for this demonstration.,IL,"Sunday, May 31, 2020",2020-05-31,NA
Lancaster,"George Floyd, Minneapolis, General",Unclear # of demonstrators,Afternoon,"""Honk and Drive"" car caravan protest; created due to COVID-19 pandemic",PA,"Sunday, May 31, 2020",2020-05-31,NA
Chicago,"George Floyd, Minneapolis, General",Thousands of demonstrators,Afternoon-Evening,No details included for this demonstration.,IL,"Sunday, May 31, 2020",2020-05-31,NA
Houston,"George Floyd, Minneapolis, General",Hundreds (est.) demonstrators,Afternoon-Evening,No details for this protest,TX,"Sunday, May 31, 2020",2020-05-31,NA
Washington,"George Floyd, Minneapolis, General",1000+ demonstrators,Afternoon-Evening,"Outside White House, Trump moved to bunker",DC,"Sunday, May 31, 2020",2020-05-31,NA
Kennesaw,"George Floyd, Minneapolis, General",100+ (est.) demonstrators,Afternoon,No details for this protest,GA,"Sunday, May 31, 2020",2020-05-31,NA
Torrance,"George Floyd, Minneapolis, General",Hundreds of demonstrators,Afternoon,No details included for this demonstration.,CA,"Sunday, May 31, 2020",2020-05-31,NA
Memphis,"George Floyd, Minneapolis, General",Hundreds of demonstrators,Evening-Morning,No details included for this demonstration.,TN,"Saturday, May 30, 2020 - Sunday, May 31, 2020",2020-05-30,2020-05-31
"Manchester, England","George Floyd, Minneapolis, General",Hundreds of demonstrators,Evening,No details included for this demonstration.,NA,"Sunday, May 31, 2020",2020-05-31,NA
Miami,"George Floyd, Minneapolis, General",Hundreds of demonstrators,Afternoon-Evening,No details included for this demonstration.,FL,"Sunday, May 31, 2020",2020-05-31,NA
Fort Lauderdale,"George Floyd, Minneapolis, General",1000 demonstrators,Evening,No details included for this demonstration.,FL,"Sunday, May 31, 2020",2020-05-31,NA
Camden,"George Floyd, Minneapolis, General",Unclear # of demonstrators,Evening,March; police chief marched with protesters,NJ,"Saturday, May 30, 2020",2020-05-30,NA
Modesto,"George Floyd, Minneapolis, General",50-60 (est.) demonstrators,Afternoon,No details included for this demonstration.,CA,"Saturday, May 30, 2020",2020-05-30,NA
Flint,"George Floyd, Minneapolis, General",Hundreds of demonstrators,Evening,No details included for this demonstration.,MI,"Saturday, May 30, 2020",2020-05-30,NA
Gainesville,"George Floyd, Minneapolis, General",Thousands of demonstrators,Afternoon,March from Depot Park to rally at Bo Diddly plaza; splinter march to Gainseville Police building,FL,"Saturday, May 30, 2020",2020-05-30,NA
"London, England","George Floyd, Minneapolis, General",500 (est.) demonstrators,Afternoon-Evening (est.),"In Peckham, rally & march thru city",NA,"Saturday, May 30, 2020",2020-05-30,NA
Burlington,"George Floyd, Minneapolis, Burlington, General",1200 demonstrators,Morning-Evening,March from Battery Park to Burlington Police Department,VT,"Saturday, May 30, 2020",2020-05-30,NA
Atlanta,"George Floyd, Minneapolis, General",Thousands of demonstrators,Evening-Morning,"Organized march from Centennial Olympic Park to rally at Capitol then back to Park; impromptu gathering at CNN Center, march through city w/ highway s",GA,"Friday, May 29, 2020 - Saturday, May 30, 2020",2020-05-29,2020-05-30
Minneapolis,"George Floyd, Ofc. Derek Chauvin, Minneapolis Police Department",Thousands of demonstrators,Evening-Morning,"Rallies/gatherings outside multiple police buildings, marches through city, rioting",MN,"Friday, May 29, 2020 - Saturday, May 30, 2020",2020-05-29,2020-05-30
