City,State,Date
Huntington,West Virginia,2020-05-30
Fairmont,West Virginia,2020-05-30
Morgantown,West Virginia,2020-05-30
Wheeling,West Virginia,2020-05-31
Appleton,Wisconsin,2020-05-30
Eau Claire,Wisconsin,2020-05-31
Green Bay,Wisconsin,2020-05-30
Green Bay,Wisconsin,2020-05-31
La Crosse,Wisconsin,2020-05-29
Madison,Wisconsin,2020-05-30
Marinette,Wisconsin,2020-06-03
Milwaukee,Wisconsin,2020-05-29
Wausau,Wisconsin,2020-05-29
Casper,Wyoming,NA
Cheyenne,Wyoming,2020-05-29
Cheyenne,Wyoming,2020-05-30
Gillette,Wyoming,2020-06-02
Jackson,Wyoming,2020-05-31
Laramie,Wyoming,2020-06-02
Laramie,Wyoming,2020-06-04
Riverton,Wyoming,2020-06-01
Rock Springs,Wyoming,NA
Anniston,Alabama,2020-06-02
Washington,D.C.,2020-05-31
Kansas City,Kansas,2020-05-31
Springfield,Missouri,2020-05-31
Oklahoma City,Oklahoma,2020-05-31
Appleton,Wisconsin,2020-05-31
La Crosse,Wisconsin,2020-05-30
Cheyenne,Wyoming,2020-05-31
